Ensembl hit	Gene Name	Description	Gene Type	Genomic Location	Other Names
ENSG00000196566	AL138767.1	novel transcript	lncRNA	Chromosome 10: 87610163-87660003reverse strand	-
ENSG00000040633	PHF23	PHD finger protein 23 	protein coding	Chromosome 17: 7235029-7239722reverse strand	-
ENSG00000179766	ATP8B5P	"ATPase phospholipid transporting 8B5, pseudogene "	transcribed unprocessed pseudogene	Chromosome 9: 35406755-35483035forward strand	-
ENSG00000137814	HAUS2	HAUS augmin like complex subunit 2 	protein coding	Chromosome 15: 42548828-42569994forward strand	-
ENSG00000234283	LINC01731	long intergenic non-protein coding RNA 1731 	lncRNA	Chromosome 1: 148271884-148280749reverse strand	-
ENSG00000204603	LINC01257	long intergenic non-protein coding RNA 1257 	lncRNA	Chromosome 12: 131165011-131232940forward strand	-
ENSG00000007376	RPUSD1	RNA pseudouridine synthase domain containing 1 	protein coding	Chromosome 16: 784974-788397reverse strand	-
ENSG00000249638	AC027343.1	novel transcript	lncRNA	Chromosome 5: 7362979-7364531reverse strand	-
ENSG00000163072	NOSTRIN	nitric oxide synthase trafficking 	protein coding	Chromosome 2: 168786539-168865514forward strand	-
ENSG00000264623	MIR4796	microRNA 4796 	miRNA	Chromosome 3: 114743445-114743525reverse strand	-
ENSG00000232200	AL158090.1	novel transcript	lncRNA	Chromosome 20: 24297585-24318086reverse strand	-
ENSG00000270741	PRELID3BP8	PRELI domain containing 3B pseudogene 8 	processed pseudogene	Chromosome 5: 120658077-120658371reverse strand	-
ENSG00000270467	IGHV3OR16-12	immunoglobulin heavy variable 3/OR16-12 (non-functional) 	IG V gene	Chromosome 16: 33802764-33803217forward strand	-
ENSG00000165762	OR4K2	olfactory receptor family 4 subfamily K member 2 	protein coding	Chromosome 14: 19875142-19883932forward strand	-
ENSG00000127220	ABHD8	abhydrolase domain containing 8 	protein coding	Chromosome 19: 17292131-17310236reverse strand	-
ENSG00000057593	F7	coagulation factor VII 	protein coding	Chromosome 13: 113105788-113120685forward strand	-
ENSG00000250974	LINC02196	long intergenic non-protein coding RNA 2196 	lncRNA	Chromosome 5: 6839460-7219291forward strand	-
ENSG00000260063	AL512408.1	"novel transcript, antisense to ARID1A"	lncRNA	Chromosome 1: 26692132-26694131reverse strand	-
ENSG00000277501	AC243571.2	"novel transcript, antisense DDX52"	lncRNA	Chromosome 17: 37642947-37684252forward strand	-
ENSG00000235070	AC062015.1	novel transcript	lncRNA	Chromosome 2: 226180044-226185371reverse strand	-
ENSG00000139737	SLAIN1	SLAIN motif family member 1 	protein coding	Chromosome 13: 77697687-77764242forward strand	-
ENSG00000238086	PPP1R26P1	protein phosphatase 1 regulatory subunit 26 pseudogene 1 	processed pseudogene	Chromosome 13: 48316863-48320475reverse strand	-
ENSG00000251492	AC104136.1	eukaryotic translation termination factor 1 (ETF1) pseudogene	processed pseudogene	Chromosome 4: 136004509-136004902reverse strand	-
ENSG00000253695	AC011008.1	novel transcript	lncRNA	Chromosome 8: 10839964-10847594forward strand	-
ENSG00000232277	SLC30A6P1	SLC30A6 pseudogene 1 	processed pseudogene	Chromosome 2: 111952144-111952671reverse strand	-
ENSG00000281825	AL355480.4		pseudogene	Chromosome 1: 45605657-45605730reverse strand	-
ENSG00000221788	MIR1252	microRNA 1252 	miRNA	Chromosome 12: 79419257-79419321forward strand	-
ENSG00000278982	AL139125.1	TEC	TEC	Chromosome 10: 7411599-7413467forward strand	-
ENSG00000205279	CTXN3	cortexin 3 	protein coding	Chromosome 5: 127649044-127658630forward strand	-
ENSG00000075568	TMEM131	transmembrane protein 131 	protein coding	Chromosome 2: 97756333-97995948reverse strand	-
ENSG00000131828	PDHA1	pyruvate dehydrogenase E1 subunit alpha 1 	protein coding	Chromosome X: 19343893-19361718forward strand	-
ENSG00000252473	AC007684.1	-	snoRNA	Chromosome 2: 39283657-39283791reverse strand	-
ENSG00000239886	KRTAP9-2	keratin associated protein 9-2 	protein coding	Chromosome 17: 41226648-41227652forward strand	-
ENSG00000214184	GCC2-AS1	GCC2 antisense RNA 1 	lncRNA	Chromosome 2: 108507515-108534196reverse strand	-
ENSG00000197575	RPS17P2	ribosomal protein S17 pseudogene 2 	processed pseudogene	Chromosome 5: 116716243-116716650forward strand	-
ENSG00000166432	ZMAT1	zinc finger matrin-type 1 	protein coding	Chromosome X: 101882288-101932079reverse strand	-
ENSG00000226339	RPS26P56	ribosomal protein S26 pseudogene 56 	processed pseudogene	Chromosome X: 129408382-129408621forward strand	-
ENSG00000123191	ATP7B	ATPase copper transporting beta 	protein coding	Chromosome 13: 51930436-52012125reverse strand	-
ENSG00000141456	PELP1	"proline, glutamate and leucine rich protein 1 "	protein coding	Chromosome 17: 4669774-4704337reverse strand	-
ENSG00000254492	AP001328.1	6.8 kDa mitochondrial proteolipid (MP68) pseudogene	processed pseudogene	Chromosome 8: 102154550-102154725forward strand	-
ENSG00000213144	AC084880.1	PDGFA associated protein 1 (PDAP1) pseudogene	processed pseudogene	Chromosome 12: 119194850-119195394forward strand	-
ENSG00000243593	LINC02049	long intergenic non-protein coding RNA 2049 	lncRNA	Chromosome 3: 120833440-120836360reverse strand	-
ENSG00000277794	Metazoa_SRP	Metazoan signal recognition particle RNA 	misc RNA	Chromosome 13: 40730981-40731253forward strand	-
ENSG00000239632	MTND4LP3	MT-ND4L pseudogene 3 	unprocessed pseudogene	Chromosome 3: 106895729-106896408reverse strand	-
ENSG00000273454	AC112503.2	novel transcript	lncRNA	Chromosome 3: 123277353-123277904forward strand	-
ENSG00000221288	MIR663B	microRNA 663b 	miRNA	Chromosome 2: 132256966-132257080reverse strand	-
ENSG00000265822	MIR4422	microRNA 4422 	miRNA	Chromosome 1: 55225641-55225723forward strand	-
ENSG00000196584	XRCC2	X-ray repair cross complementing 2 	protein coding	Chromosome 7: 152644776-152676141reverse strand	-
ENSG00000280614	FP236383.4	"novel transcript, similar to YY1 associated myogenesis RNA 1 YAM1"	lncRNA	Chromosome 21: 8393419-8394341reverse strand	-
ENSG00000162188	GNG3	G protein subunit gamma 3 	protein coding	Chromosome 11: 62707676-62709201forward strand	-
ENSG00000224299	MTATP6P16	MT-ATP6 pseudogene 16 	unprocessed pseudogene	Chromosome 2: 201550524-201551049forward strand	-
ENSG00000276040	SPATA31A7	SPATA31 subfamily A member 7 	protein coding	Chromosome 9: 61190003-61196280forward strand	-
ENSG00000102158	MAGT1	magnesium transporter 1 	protein coding	Chromosome X: 77825747-77895593reverse strand	-
ENSG00000259976	AC093010.2	novel transcript	lncRNA	Chromosome 3: 114314501-114329714reverse strand	-
ENSG00000268050	-	-	-	-	-
ENSG00000275559	AL137060.5	-	misc RNA	Chromosome 13: 50081843-50081978forward strand	-
ENSG00000280790	-	-	-	-	-
ENSG00000265606	MIR4695	microRNA 4695 	miRNA	Chromosome 1: 18883202-18883275reverse strand	-
ENSG00000128228	SDF2L1	stromal cell derived factor 2 like 1 	protein coding	Chromosome 22: 21642302-21644299forward strand	-
ENSG00000278637	H4C1	H4 clustered histone 1 	protein coding	Chromosome 6: 26021649-26022050forward strand	-
ENSG00000240374	RN7SL503P	"RNA, 7SL, cytoplasmic 503, pseudogene "	misc RNA	Chromosome 1: 35292196-35292498reverse strand	-
ENSG00000172361	CFAP53	cilia and flagella associated protein 53 	protein coding	Chromosome 18: 50227193-50266495reverse strand	-
ENSG00000222791	RNU6-67P	"RNA, U6 small nuclear 67, pseudogene "	snRNA	Chromosome 13: 83298071-83298167reverse strand	-
ENSG00000172939	OXSR1	oxidative stress responsive kinase 1 	protein coding	Chromosome 3: 38165089-38255484forward strand	-
ENSG00000257113	AC090502.1	"DnaJ (Hsp40) homolog, subfamily C, member 1 (DNAJC1) pseudogene"	processed pseudogene	Chromosome 12: 74274952-74275231forward strand	-
ENSG00000239153	AP000997.1	-	snoRNA	Chromosome 11: 115627082-115627185reverse strand	-
ENSG00000115520	COQ10B	coenzyme Q10B 	protein coding	Chromosome 2: 197453423-197475308forward strand	-
ENSG00000135636	DYSF	dysferlin 	protein coding	Chromosome 2: 71453722-71686768forward strand	-
ENSG00000259433	AC051619.2	"protein-kinase, interferon-inducible double stranded RNA dependent inhibitor, repressor of (P58 repressor) (PRKRIR) pseudogene"	processed pseudogene	Chromosome 15: 45330209-45332634reverse strand	-
ENSG00000177485	ZBTB33	zinc finger and BTB domain containing 33 	protein coding	Chromosome X: 120250752-120258398forward strand	-
ENSG00000153294	ADGRF4	adhesion G protein-coupled receptor F4 	protein coding	Chromosome 6: 47685864-47722021forward strand	-
ENSG00000202021	Y_RNA	Y RNA 	misc RNA	Chromosome 7: 75325959-75326060reverse strand	-
ENSG00000260604	AL590004.3	novel transcript	lncRNA	Chromosome 6: 3904920-3911979reverse strand	-
ENSG00000272256	AC044849.1	"novel transcript, antisense to TMEM66"	lncRNA	Chromosome 8: 30082758-30083467forward strand	-
ENSG00000184385	UMODL1-AS1	UMODL1 antisense RNA 1 	lncRNA	Chromosome 21: 42102134-42108534reverse strand	-
ENSG00000141458	NPC1	NPC intracellular cholesterol transporter 1 	protein coding	Chromosome 18: 23506184-23586506reverse strand	-
ENSG00000267774	AC010776.2	"novel transcript, antisense to CCBE1"	lncRNA	Chromosome 18: 59696459-59698111forward strand	-
ENSG00000281712	-	-	-	-	-
ENSG00000250946	AP004833.1	tripartite motif-containing 43 (TRIM43) pseudogene	unprocessed pseudogene	Chromosome 11: 89820082-89826922forward strand	-
ENSG00000241550	RN7SL41P	"RNA, 7SL, cytoplasmic 41, pseudogene "	misc RNA	Chromosome 8: 80204606-80204902forward strand	-
ENSG00000152944	MED21	mediator complex subunit 21 	protein coding	Chromosome 12: 27022546-27066343forward strand	-
ENSG00000232663	AL139415.2	pseudogene similar to part of cytochrome oxidase subunit II	processed pseudogene	Chromosome 1: 8909742-8909904forward strand	-
ENSG00000252845	RNA5SP101	"RNA, 5S ribosomal pseudogene 101 "	rRNA pseudogene	Chromosome 2: 96956708-96956815reverse strand	-
ENSG00000273744	U4	U4 spliceosomal RNA 	snRNA	Chromosome 6: 106271634-106271720forward strand	-
ENSG00000255348	AP001775.2	novel transcript	lncRNA	Chromosome 11: 134178824-134186166forward strand	-
ENSG00000278802	AC018659.7	-	misc RNA	Chromosome 12: 97560557-97560721forward strand	-
ENSG00000145782	ATG12	autophagy related 12 	protein coding	Chromosome 5: 115828200-115841837reverse strand	-
ENSG00000250346	EEF1GP2	eukaryotic translation elongation factor 1 gamma pseudogene 2 	processed pseudogene	Chromosome 5: 147922179-147923421forward strand	-
ENSG00000213176	RPL13P6	ribosomal protein L13 pseudogene 6 	processed pseudogene	Chromosome 14: 103041469-103042094forward strand	-
ENSG00000201041	RNA5SP242	"RNA, 5S ribosomal pseudogene 242 "	rRNA pseudogene	Chromosome 7: 128697439-128697556forward strand	-
ENSG00000197134	ZNF257	zinc finger protein 257 	protein coding	Chromosome 19: 22052430-22091480forward strand	-
ENSG00000231278	OR9S24P	olfactory receptor family 9 subfamily S member 24 pseudogene 	unprocessed pseudogene	Chromosome 2: 240079433-240080362forward strand	-
ENSG00000254208	AC011773.1	"novel transcript, antisense to E2F5"	lncRNA	Chromosome 8: 85177522-85178150reverse strand	-
ENSG00000249236	AC008892.1	novel transcript	lncRNA	Chromosome 5: 55978248-56111329forward strand	-
ENSG00000241657	TRBV11-2	T cell receptor beta variable 11-2 	lncRNA	Chromosome 7: 142433895-142434394forward strand	-
ENSG00000260237	AC092130.1	novel transcript	lncRNA	Chromosome 16: 80040662-80045745forward strand	-
ENSG00000222338	RNU6-174P	"RNA, U6 small nuclear 174, pseudogene "	snRNA	Chromosome 12: 3726222-3726327reverse strand	-
ENSG00000178226	PRSS36	serine protease 36 	protein coding	Chromosome 16: 31138926-31150083reverse strand	-
ENSG00000254442	AP000859.1	"ATPase, H+/K+ exchanging, beta polypeptide (ATP4B) pseudogene"	processed pseudogene	Chromosome 11: 134316782-134317088reverse strand	-
ENSG00000280240	-	-	-	-	-
ENSG00000223306	RNU6-1304P	"RNA, U6 small nuclear 1304, pseudogene "	snRNA	Chromosome 1: 225741275-225741380forward strand	-
ENSG00000198909	MAP3K3	mitogen-activated protein kinase kinase kinase 3 	protein coding	Chromosome 17: 63622415-63696305forward strand	-
ENSG00000025156	HSF2	heat shock transcription factor 2 	protein coding	Chromosome 6: 122399551-122433119forward strand	-
ENSG00000231184	CCNQP3	CCNQ pseudogene 3 	processed pseudogene	Chromosome 13: 19382454-19383072forward strand	-
ENSG00000269460	AC005515.1	novel transcript	lncRNA	Chromosome 19: 39685244-39694577forward strand	-
ENSG00000124019	FAM124B	family with sequence similarity 124 member B 	protein coding	Chromosome 2: 224378698-224402107reverse strand	-
ENSG00000201609	RNU4-28P	"RNA, U4 small nuclear 28, pseudogene "	snRNA	Chromosome 1: 19510593-19510733forward strand	-
ENSG00000254687	AC009646.2	novel transcript	lncRNA	Chromosome 8: 53177571-53242683forward strand	-
ENSG00000264358	MIR3122	microRNA 3122 	miRNA	Chromosome 1: 212077613-212077685forward strand	-
ENSG00000224059	HSPA8P16	heat shock protein family A (Hsp70) member 8 pseudogene 16 	processed pseudogene	Chromosome 7: 85027828-85029692forward strand	-
ENSG00000232732	AC097717.1	novel transcript	lncRNA	Chromosome 2: 199867396-199911159reverse strand	-
ENSG00000258532	LINC02305	long intergenic non-protein coding RNA 2305 	lncRNA	Chromosome 14: 83903437-83915377reverse strand	-
ENSG00000236803	SDAD1P4	SDA1 domain containing 1 pseudogene 4 	processed pseudogene	Chromosome 13: 23267506-23269150forward strand	-
ENSG00000230580	RPL19P5	ribosomal protein L19 pseudogene 5 	processed pseudogene	Chromosome 2: 218354075-218354572forward strand	-
ENSG00000259399	TGIF2-RAB5IF	TGIF2-RAB5IF readthrough 	protein coding	Chromosome 20: 36574553-36612384forward strand	-
ENSG00000186160	CYP4Z1	cytochrome P450 family 4 subfamily Z member 1 	protein coding	Chromosome 1: 47067231-47118318forward strand	-
ENSG00000254697	COPS8P3	COP9 signalosome subunit 8 pseudogene 3 	processed pseudogene	Chromosome 11: 78581675-78582156forward strand	-
ENSG00000279848	AL008638.4	novel transcript	lncRNA	Chromosome 22: 27044001-27045315forward strand	-
ENSG00000077522	ACTN2	actinin alpha 2 	protein coding	Chromosome 1: 236664141-236764631forward strand	-
ENSG00000252593	RNU6-1224P	"RNA, U6 small nuclear 1224, pseudogene "	snRNA	Chromosome 8: 102533241-102533339reverse strand	-
ENSG00000267658	AC099811.3	novel transcript	lncRNA	Chromosome 17: 42154600-42155972forward strand	-
ENSG00000182484	WASH6P	"WASP family homolog 6, pseudogene "	protein coding	Chromosome X: 156020826-156025710forward strand	-
ENSG00000214855	APOC1P1	apolipoprotein C1 pseudogene 1 	transcribed unprocessed pseudogene	Chromosome 19: 44926804-44931386forward strand	-
ENSG00000223287	RNU6-954P	"RNA, U6 small nuclear 954, pseudogene "	snRNA	Chromosome 21: 13968489-13968595reverse strand	-
ENSG00000106415	GLCCI1	glucocorticoid induced 1 	protein coding	Chromosome 7: 7968796-8094272forward strand	-
ENSG00000217455	AC073316.1	novel transcript	lncRNA	Chromosome 7: 3140234-3174654reverse strand	-
ENSG00000260786	AC108099.1	novel transcript	lncRNA	Chromosome 5: 42188266-42191523forward strand	-
ENSG00000234146	AKAP8P1	A-kinase anchoring protein 8 pseudogene 1 	processed pseudogene	Chromosome 9: 11011748-11013096forward strand	-
ENSG00000253653	AC009185.1	novel transcript	lncRNA	Chromosome 5: 157260122-157266625reverse strand	-
ENSG00000238385	-	-	-	-	-
ENSG00000168952	STXBP6	syntaxin binding protein 6 	protein coding	Chromosome 14: 24809656-25050297reverse strand	-
ENSG00000280789	PAGR1	PAXIP1 associated glutamate rich protein 1 	protein coding	Chromosome 16: 29816152-29822489forward strand	-
ENSG00000233324	EEF1A1P34	eukaryotic translation elongation factor 1 alpha 1 pseudogene 34 	processed pseudogene	Chromosome 20: 18782424-18783690reverse strand	-
ENSG00000237040	DPH3P2	diphthamide biosynthesis 3 pseudogene 2 	processed pseudogene	Chromosome X: 155875636-155875885forward strand	-
ENSG00000087448	KLHL42	kelch like family member 42 	protein coding	Chromosome 12: 27780048-27803040forward strand	-
ENSG00000180011	ZADH2	zinc binding alcohol dehydrogenase domain containing 2 	protein coding	Chromosome 18: 75195113-75209139reverse strand	-
ENSG00000265788	NOS2P1	nitric oxide synthase 2 pseudogene 1 	transcribed unprocessed pseudogene	Chromosome 17: 27651334-27665712reverse strand	-
ENSG00000138439	FAM117B	family with sequence similarity 117 member B 	protein coding	Chromosome 2: 202634969-202769757forward strand	-
ENSG00000256712	AC134349.1	novel transcript	lncRNA	Chromosome 12: 11166090-11171353reverse strand	-
ENSG00000138078	PREPL	prolyl endopeptidase like 	protein coding	Chromosome 2: 44316281-44361862reverse strand	-
ENSG00000155592	ZKSCAN2	zinc finger with KRAB and SCAN domains 2 	protein coding	Chromosome 16: 25236001-25257845reverse strand	-
ENSG00000116906	GNPAT	glyceronephosphate O-acyltransferase 	protein coding	Chromosome 1: 231241207-231277973forward strand	-
ENSG00000123999	INHA	inhibin subunit alpha 	protein coding	Chromosome 2: 219569162-219575711forward strand	-
ENSG00000215333	KRT18P23	keratin 18 pseudogene 23 	processed pseudogene	Chromosome 22: 44566965-44568247forward strand	-
ENSG00000144820	ADGRG7	adhesion G protein-coupled receptor G7 	protein coding	Chromosome 3: 100609601-100695479forward strand	-
ENSG00000251171	AC096741.1	novel transcript	lncRNA	Chromosome 4: 169201794-169220349forward strand	-
ENSG00000048649	RSF1	remodeling and spacing factor 1 	protein coding	Chromosome 11: 77659996-77821017reverse strand	-
ENSG00000257404	AC107016.2	ribosomal protein S28 (RPS28) pseudogene	processed pseudogene	Chromosome 12: 52782650-52782839forward strand	-
ENSG00000247982	LINC00926	long intergenic non-protein coding RNA 926 	lncRNA	Chromosome 15: 57300365-57307769forward strand	-
ENSG00000267610	AC007787.1	"novel transcript, antisense to NFIX"	lncRNA	Chromosome 19: 13069792-13071374reverse strand	-
ENSG00000182013	PNMA8A	PNMA family member 8A 	protein coding	Chromosome 19: 46466491-46471563reverse strand	-
ENSG00000257184	AC004080.3	HOXA10-HOXA9 readthrough	protein coding	Chromosome 7: 27163535-27180013reverse strand	-
ENSG00000225554	-	-	-	-	-
ENSG00000273466	-	-	-	-	-
ENSG00000234638	AC053503.3	novel transcript	lncRNA	Chromosome 2: 219425071-219426184reverse strand	-
ENSG00000061656	SPAG4	sperm associated antigen 4 	protein coding	Chromosome 20: 35615829-35621094forward strand	-
ENSG00000163132	MSX1	msh homeobox 1 	protein coding	Chromosome 4: 4859665-4863936forward strand	-
ENSG00000196329	GIMAP5	"GTPase, IMAP family member 5 "	protein coding	Chromosome 7: 150722253-150750033forward strand	-
ENSG00000260411	-	-	-	-	-
ENSG00000165240	ATP7A	ATPase copper transporting alpha 	protein coding	Chromosome X: 77910656-78050395forward strand	-
ENSG00000237343	AC246785.3	novel transcript	lncRNA	Chromosome 1: 144418113-144419192reverse strand	-
ENSG00000166200	COPS2	COP9 signalosome subunit 2 	protein coding	Chromosome 15: 49106068-49155661reverse strand	-
ENSG00000131507	NDFIP1	Nedd4 family interacting protein 1 	protein coding	Chromosome 5: 142108779-142154440forward strand	-
ENSG00000275467	AC083806.3	novel transcript	lncRNA	Chromosome 12: 116801023-116801477forward strand	-
ENSG00000228992	RPL5P32	ribosomal protein L5 pseudogene 32 	processed pseudogene	Chromosome 15: 27895704-27896582forward strand	-
ENSG00000237737	DCTN1-AS1	DCTN1 antisense RNA 1 	lncRNA	Chromosome 2: 74385474-74393882forward strand	-
ENSG00000228379	AC010891.1	novel transcript	lncRNA	Chromosome Y: 9813315-9817513forward strand	-
ENSG00000157227	MMP14	matrix metallopeptidase 14 	protein coding	Chromosome 14: 22836560-22849041forward strand	-
ENSG00000239250	RN7SL271P	"RNA, 7SL, cytoplasmic 271, pseudogene "	misc RNA	Chromosome 3: 71827177-71827471forward strand	-
ENSG00000278627	AC005962.1	"novel transcript, antisense to EPX"	lncRNA	Chromosome 17: 58202352-58203003reverse strand	-
ENSG00000275364	-	-	-	-	-
ENSG00000200714	Y_RNA	Y RNA 	misc RNA	Chromosome 8: 65592731-65592820forward strand	-
ENSG00000222108	RNA5SP317	"RNA, 5S ribosomal pseudogene 317 "	rRNA pseudogene	Chromosome 10: 49979665-49979780reverse strand	-
ENSG00000102547	CAB39L	calcium binding protein 39 like 	protein coding	Chromosome 13: 49308650-49444064reverse strand	-
ENSG00000236745	YRDCP2	yrdC N(6)-threonylcarbamoyltransferase domain containing pseudogene 2 	processed pseudogene	Chromosome 9: 96954820-96955461forward strand	-
ENSG00000276692	-	-	-	-	-
ENSG00000234663	LINC01934	long intergenic non-protein coding RNA 1934 	lncRNA	Chromosome 2: 181086076-181409321forward strand	-
ENSG00000281534	-	-	-	-	-
ENSG00000256870	SLC5A8	solute carrier family 5 member 8 	protein coding	Chromosome 12: 101155493-101210238reverse strand	-
ENSG00000073614	KDM5A	lysine demethylase 5A 	protein coding	Chromosome 12: 280057-389320reverse strand	-
ENSG00000261807	LINC02141	long intergenic non-protein coding RNA 2141 	lncRNA	Chromosome 16: 59855353-60053973forward strand	-
ENSG00000221768	MIR1302-7	microRNA 1302-7 	miRNA	Chromosome 8: 141786242-141786313reverse strand	-
ENSG00000185686	PRAME	PRAME nuclear receptor transcriptional regulator 	protein coding	Chromosome 22: 22547701-22559361reverse strand	-
ENSG00000236446	CT47B1	cancer/testis antigen family 47 member B1 	protein coding	Chromosome X: 120872603-120875929reverse strand	-
ENSG00000279047	AC244517.5	"novel transcript, antisense to PCDHB1 and PCDHB2"	lncRNA	Chromosome 5: 141046260-141096402reverse strand	-
ENSG00000122126	OCRL	OCRL inositol polyphosphate-5-phosphatase 	protein coding	Chromosome X: 129539849-129592561forward strand	-
ENSG00000181315	ZNF322	zinc finger protein 322 	protein coding	Chromosome 6: 26634383-26659752reverse strand	-
ENSG00000258619	AL136298.2	HERV-FRD provirus ancestral Env polyprotein (ERVFRDE1) pseudogene	processed pseudogene	Chromosome 14: 32241524-32243093reverse strand	-
ENSG00000261916	AC027796.1	"novel transcript, sense intronic to readthrough SHPK-TRPV1"	lncRNA	Chromosome 17: 3601761-3602272reverse strand	-
ENSG00000132698	RAB25	"RAB25, member RAS oncogene family "	protein coding	Chromosome 1: 156061160-156070504forward strand	-
ENSG00000276476	LINC00540	long intergenic non-protein coding RNA 540 	lncRNA	Chromosome 13: 22040972-22276526forward strand	-
ENSG00000258900	HNRNPCP1	heterogeneous nuclear ribonucleoprotein C pseudogene 1 	processed pseudogene	Chromosome 14: 58521223-58521988forward strand	-
ENSG00000280238	AC022400.8	TEC	TEC	Chromosome 10: 73791218-73791490forward strand	-
ENSG00000275356	C7orf77	chromosome 7 open reading frame 77 	lncRNA	Chromosome 7: 124777292-124790689reverse strand	-
ENSG00000267874	-	-	-	-	-
ENSG00000264829	AC087749.2	"novel transcript, antisense to SAP30BP"	lncRNA	Chromosome 17: 75679474-75679967reverse strand	-
ENSG00000270228	AC079880.1	HEAT repeat containing 2 (HEATR2) pseudogene	processed pseudogene	Chromosome 4: 67718996-67724262reverse strand	-
ENSG00000214940	NPIPA8	nuclear pore complex interacting protein family member A8 	protein coding	Chromosome 16: 18317942-18336736reverse strand	-
ENSG00000171533	MAP6	microtubule associated protein 6 	protein coding	Chromosome 11: 75586918-75669038reverse strand	-
ENSG00000270296	STX8P1	syntaxin 8 pseudogene 1 	processed pseudogene	Chromosome 12: 12771351-12771705reverse strand	-
ENSG00000201595	RNA5SP132	"RNA, 5S ribosomal pseudogene 132 "	rRNA pseudogene	Chromosome 3: 51694465-51694582reverse strand	-
ENSG00000212264	SNORD65C	"small nucleolar RNA, C/D box 65C "	snoRNA	Chromosome 7: 23396446-23396516forward strand	-
ENSG00000230099	TRBV5-4	T cell receptor beta variable 5-4 	TR V gene	Chromosome 7: 142462916-142463581forward strand	-
ENSG00000166206	GABRB3	gamma-aminobutyric acid type A receptor subunit beta3 	protein coding	Chromosome 15: 26543546-26939539reverse strand	-
ENSG00000231276	E2F4P1	E2F transcription factor 4 pseudogene 1 	processed pseudogene	Chromosome 6: 39553811-39554943forward strand	-
ENSG00000232648	AC107214.1	novel transcript	lncRNA	Chromosome 4: 183494884-183504494reverse strand	-
ENSG00000225100	DPY19L2P5	DPY19L2 pseudogene 5 	processed pseudogene	Chromosome 10: 79982910-79983240reverse strand	-
ENSG00000279726	AC005609.5	"novel transcript, antisense to PCDHA5, PCDHA4, PCDHA3, PCDHA2 and PCDHA1"	lncRNA	Chromosome 5: 140785698-140828549reverse strand	-
ENSG00000259731	AC022929.1	novel transcript	lncRNA	Chromosome 15: 38756552-38759413reverse strand	-
ENSG00000001630	CYP51A1	cytochrome P450 family 51 subfamily A member 1 	protein coding	Chromosome 7: 92112153-92134803reverse strand	-
ENSG00000238833	RNU1-131P	"RNA, U1 small nuclear 131, pseudogene "	snRNA	Chromosome 20: 17209060-17209220forward strand	-
ENSG00000228078	HLA-U	"major histocompatibility complex, class I, U (pseudogene) "	unprocessed pseudogene	Chromosome 6: 29934101-29934286forward strand	-
ENSG00000213291	AC010099.1	ribosomal protein L31 (RPL31) pseudogene	processed pseudogene	Chromosome 7: 125300504-125300878reverse strand	-
ENSG00000214967	NPIPA7	nuclear pore complex interacting protein family member A7 	protein coding	Chromosome 16: 16379055-16393954forward strand	-
ENSG00000201780	RNU6-275P	"RNA, U6 small nuclear 275, pseudogene "	snRNA	Chromosome 12: 8484746-8484852forward strand	-
ENSG00000180433	OR6K6	olfactory receptor family 6 subfamily K member 6 	protein coding	Chromosome 1: 158754720-158755891forward strand	-
ENSG00000249007	AL691482.3	novel transcript	lncRNA	Chromosome 1: 202011370-202015657forward strand	-
ENSG00000224614	TNK2-AS1	TNK2 antisense RNA 1 	lncRNA	Chromosome 3: 195908076-195913986forward strand	-
ENSG00000276631	AC007786.3	novel transcript	lncRNA	Chromosome 19: 29222542-29223137forward strand	-
ENSG00000116095	PLEKHA3	pleckstrin homology domain containing A3 	protein coding	Chromosome 2: 178480457-178516463forward strand	-
ENSG00000110651	CD81	CD81 molecule 	protein coding	Chromosome 11: 2376177-2397397forward strand	-
ENSG00000230980	RPL36AP39	ribosomal protein L36a pseudogene 39 	processed pseudogene	Chromosome 11: 1792553-1792870forward strand	-
ENSG00000121207	LRAT	lecithin retinol acyltransferase 	protein coding	Chromosome 4: 154626945-154753120forward strand	-
ENSG00000130921	C12orf65	chromosome 12 open reading frame 65 	protein coding	Chromosome 12: 123233385-123258079forward strand	-
ENSG00000158006	PAFAH2	platelet activating factor acetylhydrolase 2 	protein coding	Chromosome 1: 25959767-25998117reverse strand	-
ENSG00000233523	PHBP5	prohibitin pseudogene 5 	processed pseudogene	Chromosome 7: 73187969-73188736reverse strand	-
ENSG00000230190	AC005518.1	novel transcript	lncRNA	Chromosome 7: 147671711-147673143forward strand	-
ENSG00000125430	HS3ST3B1	heparan sulfate-glucosamine 3-sulfotransferase 3B1 	protein coding	Chromosome 17: 14301081-14349404forward strand	-
ENSG00000233548	CYCSP44	CYCS pseudogene 44 	processed pseudogene	Chromosome X: 145176582-145176894forward strand	-
ENSG00000277186	AC131212.1	novel transcript	lncRNA	Chromosome 12: 132593031-132593698reverse strand	-
ENSG00000257346	AC011603.1	"novel transcript, antisense to DHH"	lncRNA	Chromosome 12: 49090208-49093312forward strand	-
ENSG00000267239	AP001198.1	"novel transcript, antisense C18orf1"	lncRNA	Chromosome 18: 13203774-13216367reverse strand	-
ENSG00000064886	CHI3L2	chitinase 3 like 2 	protein coding	Chromosome 1: 111200771-111243440forward strand	-
ENSG00000225846	AC112719.1	ribosomal protein L36 (RPL36) pseudogene	processed pseudogene	Chromosome 4: 76036750-76037064reverse strand	-
